season,team_a,team_b,p_a_wins
2003,1104,1112,0.17512295669569272
2003,1104,1113,0.4835550429861488
2003,1104,1120,0.4655067010365631
2003,1104,1122,0.812925613830583
2003,1104,1139,0.5508060510924591
2003,1104,1140,0.24252917408958638
2003,1104,1141,0.7282274214231125
2003,1104,1143,0.4093898223382237
2003,1104,1153,0.5240006496193071
2003,1104,1160,0.5446040489184439
2003,1104,1161,0.7904513859481473
2003,1104,1163,0.2860203633999153
2003,1104,1166,0.19814792784020457
2003,1104,1173,0.3379827598643035
2003,1104,1181,0.2380575081255246
2003,1104,1190,0.8254621858514845
2003,1104,1196,0.24018578929699527
2003,1104,1211,0.5065205376386787
2003,1104,1221,0.44426120346934533
2003,1104,1228,0.17609451710846888
2003,1104,1231,0.6543203135186878
2003,1104,1237,0.7047847839994843
2003,1104,1242,0.1999033927977578
2003,1104,1246,0.15881678930805085
2003,1104,1257,0.21688749998767864
2003,1104,1261,0.2067590363865692
2003,1104,1264,0.5625445918786307
2003,1104,1266,0.26402512715353504
2003,1104,1268,0.19994520428284474
2003,1104,1272,0.2715228182759402
2003,1104,1277,0.29763876508227355
2003,1104,1280,0.25076449688097935
2003,1104,1281,0.2892284471828437
2003,1104,1301,0.5414225965583839
2003,1104,1323,0.561149203564233
2003,1104,1328,0.19949747164089454
2003,1104,1329,0.2903340480458364
2003,1104,1332,0.34706695971870793
2003,1104,1335,0.5282580070368813
2003,1104,1338,0.17226882645417552
2003,1104,1345,0.5061899856704166
2003,1104,1354,0.853297770409602
2003,1104,1356,0.47384641487140355
2003,1104,1358,0.8067629921967417
2003,1104,1360,0.7488809393642492
2003,1104,1386,0.3091684500039495
2003,1104,1390,0.29794842661940074
2003,1104,1393,0.2911369200412804
2003,1104,1400,0.26939152737769456
2003,1104,1407,0.5762939987678933
2003,1104,1409,0.4916635726181458
2003,1104,1411,0.8502777041721536
2003,1104,1421,0.8602119770188382
2003,1104,1423,0.3809640752195491
2003,1104,1428,0.3901118847882437
2003,1104,1429,0.8051552711390351
2003,1104,1436,0.7825540105010347
2003,1104,1443,0.39979742767971205
2003,1104,1447,0.7882877676879583
2003,1104,1448,0.27148776097218924
2003,1104,1451,0.5996267807421863
2003,1104,1454,0.40396415339515185
2003,1104,1458,0.22225338826975516
2003,1104,1462,0.22696477548139515
2003,1112,1113,0.7316261302381517
2003,1112,1120,0.8381661103002345
2003,1112,1122,0.856803812097687
2003,1112,1139,0.7156830595550916
2003,1112,1140,0.6895010525585146
2003,1112,1141,0.8253359000651918
2003,1112,1143,0.6777939243615361
2003,1112,1153,0.771701109673884
2003,1112,1160,0.8229388935124351
2003,1112,1161,0.8584804873618952
2003,1112,1163,0.6364026741057197
2003,1112,1166,0.6165707024624881
2003,1112,1173,0.7165891364012276
2003,1112,1181,0.6597879691538205
2003,1112,1190,0.8605916958916459
2003,1112,1196,0.4080488958310665
2003,1112,1211,0.6964577495113866
2003,1112,1221,0.8125463774807754
2003,1112,1228,0.38745888759174457
2003,1112,1231,0.8259701540516298
2003,1112,1237,0.860496107162281
2003,1112,1242,0.5201479083982528
2003,1112,1246,0.32247109536365165
2003,1112,1257,0.6175854174615053
