season,team_a,team_b,p_a_wins
2003,1104,1112,0.19165126272234737
2003,1104,1113,0.41345587720347865
2003,1104,1120,0.6094534337129023
2003,1104,1122,0.8184615657979177
2003,1104,1139,0.650531486676532
2003,1104,1140,0.4787339577406995
2003,1104,1141,0.719005595832281
2003,1104,1143,0.6346106552553126
2003,1104,1153,0.7054303194537159
2003,1104,1160,0.4860539325787703
2003,1104,1161,0.7965240247436158
2003,1104,1163,0.2928289489882909
2003,1104,1166,0.4082263152451062
2003,1104,1173,0.44792665643292345
2003,1104,1181,0.24921292616627247
2003,1104,1190,0.8701359456849659
2003,1104,1196,0.19487383639934386
2003,1104,1211,0.5870632260153629
2003,1104,1221,0.7073106842209373
2003,1104,1228,0.27461679221433066
2003,1104,1231,0.6949576914053337
2003,1104,1237,0.8782600066372068
2003,1104,1242,0.17671541513986302
2003,1104,1246,0.14691275212775917
2003,1104,1257,0.26099813230478464
2003,1104,1261,0.30580684279767667
2003,1104,1264,0.7358748214558749
2003,1104,1266,0.2285297379421931
2003,1104,1268,0.2596689055841914
2003,1104,1272,0.29475292356519395
2003,1104,1277,0.46178627741383643
2003,1104,1280,0.2479699865032956
2003,1104,1281,0.4367856903271526
2003,1104,1301,0.6955592786103939
2003,1104,1323,0.46313356258276717
2003,1104,1328,0.23721906640432938
2003,1104,1329,0.5210636418693708
2003,1104,1332,0.5483452149270073
2003,1104,1335,0.7121064630764856
2003,1104,1338,0.2045527200827205
2003,1104,1345,0.6702888770595272
2003,1104,1354,0.908400108018428
2003,1104,1356,0.682334706635505
2003,1104,1358,0.8421762399384147
2003,1104,1360,0.837535277137847
2003,1104,1386,0.4317510800214247
2003,1104,1390,0.3883548440217684
2003,1104,1393,0.27838341180575465
2003,1104,1400,0.18285497684413304
2003,1104,1407,0.7131707072238835
2003,1104,1409,0.7643950606102387
2003,1104,1411,0.9135927404152812
2003,1104,1421,0.9103604905279032
2003,1104,1423,0.7064381526122403
2003,1104,1428,0.5798902548662337
2003,1104,1429,0.8185744009381215
2003,1104,1436,0.8509427732070499
2003,1104,1443,0.7143944756211278
2003,1104,1447,0.8638735390842858
2003,1104,1448,0.2009444216552484
2003,1104,1451,0.7228252339825278
2003,1104,1454,0.6587467318189774
2003,1104,1458,0.2452445384075419
2003,1104,1462,0.23858103816612575
2003,1112,1113,0.8087583403484908
2003,1112,1120,0.8535017723504659
2003,1112,1122,0.9151848803463845
2003,1112,1139,0.8499708959941388
2003,1112,1140,0.8531731202706387
2003,1112,1141,0.8705295331639258
2003,1112,1143,0.8501525313178271
2003,1112,1153,0.8883116742146708
2003,1112,1160,0.8520267168965685
2003,1112,1161,0.9142870191024621
2003,1112,1163,0.8054580039846425
2003,1112,1166,0.8070981952519893
2003,1112,1173,0.7609096371528532
2003,1112,1181,0.6919850900338349
2003,1112,1190,0.9271568443558887
2003,1112,1196,0.6199554514239155
2003,1112,1211,0.8641370708162169
2003,1112,1221,0.8843552299004919
2003,1112,1228,0.6814230701185874
2003,1112,1231,0.8403220566483065
2003,1112,1237,0.9333141310711393
2003,1112,1242,0.5013464846554266
2003,1112,1246,0.3558156689087999
2003,1112,1257,0.7632443042681896
2003,1112,1261,0.765372251373484
2003,1112,1264,0.8954594282401617
2003,1112,1266,0.6520779112293511
2003,1112,1268,0.7284025282700073
2003,1112,1272,0.749627363988656
2003,1112,1277,0.860713339515515
2003,1112,1280,0.7264563334238608
2003,1112,1281,0.8192463719103689
2003,1112,1301,0.8848828667707197
2003,1112,1323,0.792957307658401
2003,1112,1328,0.7052004582286094
2003,1112,1329,0.8073871964189935
2003,1112,1332,0.8629820777107413
2003,1112,1335,0.8844703830686649
2003,1112,1338,0.5012234378994199
2003,1112,1345,0.8547933627624815
2003,1112,1354,0.9350444833559048
2003,1112,1356,0.8659156628204113
2003,1112,1358,0.9239081874897509
2003,1112,1360,0.9204339944419505
2003,1112,1386,0.8219988956022395
2003,1112,1390,0.8126962368677833
2003,1112,1393,0.7149310275842157
2003,1112,1400,0.5966423543390451
2003,1112,1407,0.8865765829226882
2003,1112,1409,0.904141852454944
2003,1112,1411,0.9334214704848377
2003,1112,1421,0.9354329317061012
2003,1112,1423,0.8880023264045758
2003,1112,1428,0.835170698041334
2003,1112,1429,0.9187695013999916
2003,1112,1436,0.9233333461779467
2003,1112,1443,0.8853262713539944
2003,1112,1447,0.9225822571823714
2003,1112,1448,0.7259658770407114
2003,1112,1451,0.8917619929816537
2003,1112,1454,0.8818009151533355
2003,1112,1458,0.7565734327659878
2003,1112,1462,0.750183199246381
2003,1113,1120,0.6854599266860693
2003,1113,1122,0.8157776736314857
2003,1113,1139,0.6681163052866924
2003,1113,1140,0.5329635745389696
2003,1113,1141,0.7509514543554865
2003,1113,1143,0.6808920758640684
2003,1113,1153,0.7422591846335427
2003,1113,1160,0.5581781403944629
2003,1113,1161,0.790337335484544
2003,1113,1163,0.36115519481123615
2003,1113,1166,0.49013846891478013
2003,1113,1173,0.5074887821452723
2003,1113,1181,0.28277456889126545
2003,1113,1190,0.8579143186192361
2003,1113,1196,0.20928814424911402
2003,1113,1211,0.636920410406353
2003,1113,1221,0.6535390679873709
