season,team_a,team_b,p_a_wins
2003,1104,1112,0.19820022583007812
2003,1104,1113,0.3557455539703369
2003,1104,1120,0.6470000743865967
2003,1104,1122,0.9022572636604309
2003,1104,1139,0.6681411266326904
2003,1104,1140,0.513508677482605
2003,1104,1141,0.7620639801025391
2003,1104,1143,0.6801878213882446
2003,1104,1153,0.7227070331573486
2003,1104,1160,0.5401327013969421
2003,1104,1161,0.7503446936607361
2003,1104,1163,0.38184022903442383
2003,1104,1166,0.38582897186279297
2003,1104,1173,0.5780607461929321
2003,1104,1181,0.3725621700286865
2003,1104,1190,0.9184222221374512
2003,1104,1196,0.2870597839355469
2003,1104,1211,0.6470000743865967
2003,1104,1221,0.6784173250198364
2003,1104,1228,0.39579376578330994
2003,1104,1231,0.7291852235794067
2003,1104,1237,0.901772677898407
2003,1104,1242,0.2084524780511856
2003,1104,1246,0.14456148445606232
2003,1104,1257,0.3725621700286865
2003,1104,1261,0.3625224828720093
2003,1104,1264,0.7666192054748535
2003,1104,1266,0.287601500749588
2003,1104,1268,0.27654996514320374
2003,1104,1272,0.3714084327220917
2003,1104,1277,0.3929518163204193
2003,1104,1280,0.28913870453834534
2003,1104,1281,0.40203437209129333
2003,1104,1301,0.6978779435157776
2003,1104,1323,0.5798866748809814
2003,1104,1328,0.32410570979118347
2003,1104,1329,0.6650545001029968
2003,1104,1332,0.6914913654327393
2003,1104,1335,0.6699760556221008
2003,1104,1338,0.26785606145858765
2003,1104,1345,0.6321972012519836
2003,1104,1354,0.9203447103500366
2003,1104,1356,0.6652064919471741
2003,1104,1358,0.8393296599388123
2003,1104,1360,0.841317892074585
2003,1104,1386,0.3971990942955017
2003,1104,1390,0.4296402037143707
2003,1104,1393,0.3992442488670349
2003,1104,1400,0.22037199139595032
2003,1104,1407,0.6800493597984314
2003,1104,1409,0.7652762532234192
2003,1104,1411,0.921286940574646
2003,1104,1421,0.9203447103500366
2003,1104,1423,0.6699760556221008
2003,1104,1428,0.6452873945236206
2003,1104,1429,0.780839204788208
2003,1104,1436,0.8144963383674622
2003,1104,1443,0.676995038986206
2003,1104,1447,0.8471633195877075
2003,1104,1448,0.2870597839355469
2003,1104,1451,0.7579771876335144
2003,1104,1454,0.6070253252983093
2003,1104,1458,0.287601500749588
2003,1104,1462,0.2924272418022156
2003,1112,1113,0.7867531776428223
2003,1112,1120,0.8467376828193665
2003,1112,1122,0.9728689193725586
2003,1112,1139,0.8659255504608154
2003,1112,1140,0.8898219466209412
2003,1112,1141,0.9327077865600586
2003,1112,1143,0.8462374806404114
2003,1112,1153,0.9536393880844116
2003,1112,1160,0.8467376828193665
2003,1112,1161,0.9506786465644836
2003,1112,1163,0.8063368797302246
2003,1112,1166,0.7908499836921692
2003,1112,1173,0.8107483386993408
2003,1112,1181,0.6144245266914368
2003,1112,1190,0.9700342416763306
2003,1112,1196,0.6168700456619263
2003,1112,1211,0.8812029361724854
2003,1112,1221,0.9371718168258667
2003,1112,1228,0.6190110445022583
2003,1112,1231,0.8189323544502258
2003,1112,1237,0.9719523787498474
2003,1112,1242,0.3886149525642395
2003,1112,1246,0.37775954604148865
2003,1112,1257,0.8107483386993408
2003,1112,1261,0.6720806360244751
2003,1112,1264,0.9532960653305054
2003,1112,1266,0.6269522309303284
2003,1112,1268,0.5861247181892395
2003,1112,1272,0.6602471470832825
2003,1112,1277,0.8462374806404114
2003,1112,1280,0.6782119274139404
2003,1112,1281,0.7995158433914185
2003,1112,1301,0.9366323947906494
2003,1112,1323,0.7978913187980652
2003,1112,1328,0.6319358944892883
2003,1112,1329,0.8075723648071289
2003,1112,1332,0.883510947227478
2003,1112,1335,0.9388231039047241
2003,1112,1338,0.5236209034919739
2003,1112,1345,0.8467376828193665
2003,1112,1354,0.9711434841156006
2003,1112,1356,0.9359719157218933
2003,1112,1358,0.9408714175224304
2003,1112,1360,0.9552658796310425
2003,1112,1386,0.8189323544502258
2003,1112,1390,0.8063368797302246
2003,1112,1393,0.6618887186050415
2003,1112,1400,0.6161985993385315
2003,1112,1407,0.9371718168258667
2003,1112,1409,0.9576451778411865
2003,1112,1411,0.9429966807365417
2003,1112,1421,0.9711434841156006
2003,1112,1423,0.9568886160850525
2003,1112,1428,0.8242409229278564
2003,1112,1429,0.9509397149085999
2003,1112,1436,0.9481205940246582
2003,1112,1443,0.9332985877990723
2003,1112,1447,0.9488222002983093
2003,1112,1448,0.6537702083587646
2003,1112,1451,0.9593364596366882
2003,1112,1454,0.9526430368423462
2003,1112,1458,0.6812601089477539
2003,1112,1462,0.672748863697052
2003,1113,1120,0.6978779435157776
2003,1113,1122,0.9022572636604309
2003,1113,1139,0.6712385416030884
2003,1113,1140,0.6426138281822205
2003,1113,1141,0.7636728286743164
2003,1113,1143,0.7227070331573486
2003,1113,1153,0.7875577211380005
2003,1113,1160,0.660327672958374
2003,1113,1161,0.7601185441017151
2003,1113,1163,0.4296402037143707
2003,1113,1166,0.6395704746246338
2003,1113,1173,0.698833703994751
2003,1113,1181,0.3974490165710449
2003,1113,1190,0.9023447036743164
2003,1113,1196,0.27696114778518677
2003,1113,1211,0.6516067385673523
2003,1113,1221,0.6380654573440552
2003,1113,1228,0.39400383830070496
2003,1113,1231,0.7929989695549011
2003,1113,1237,0.9155893921852112
2003,1113,1242,0.2826569378376007
2003,1113,1246,0.13214261829853058
2003,1113,1257,0.45784956216812134
2003,1113,1261,0.39860376715660095
2003,1113,1264,0.7666192054748535
2003,1113,1266,0.3725621700286865
2003,1113,1268,0.367300808429718
2003,1113,1272,0.38780829310417175
2003,1113,1277,0.6801878213882446
2003,1113,1280,0.3725621700286865
2003,1113,1281,0.6650545001029968
2003,1113,1301,0.7870386838912964
2003,1113,1323,0.6467694044113159
2003,1113,1328,0.40362975001335144
2003,1113,1329,0.679271399974823
2003,1113,1332,0.6801878213882446
2003,1113,1335,0.6699760556221008
2003,1113,1338,0.2721157968044281
2003,1113,1345,0.7008220553398132
2003,1113,1354,0.9204094409942627
2003,1113,1356,0.7568580508232117
2003,1113,1358,0.8954583406448364
2003,1113,1360,0.941364586353302
2003,1113,1386,0.6992751359939575
2003,1113,1390,0.680065393447876
2003,1113,1393,0.4296402037143707
2003,1113,1400,0.22037199139595032
2003,1113,1407,0.7614817023277283
2003,1113,1409,0.7666192054748535
2003,1113,1411,0.921286940574646
2003,1113,1421,0.9114434123039246
2003,1113,1423,0.6699760556221008
2003,1113,1428,0.6978779435157776
2003,1113,1429,0.8471633195877075
2003,1113,1436,0.8435152173042297
2003,1113,1443,0.6784173250198364
2003,1113,1447,0.9179129004478455
2003,1113,1448,0.41622698307037354
2003,1113,1451,0.7541025280952454
2003,1113,1454,0.666478157043457
2003,1113,1458,0.39579376578330994
2003,1113,1462,0.4296402037143707
2003,1120,1122,0.8403152823448181
2003,1120,1139,0.5116372108459473
2003,1120,1140,0.3443351686000824
2003,1120,1141,0.49536803364753723
2003,1120,1143,0.39680948853492737
2003,1120,1153,0.39860376715660095
